site,T1,T2,T3
1,-0.0946,0.201,0
3,0,0.0911,-0.0134
8,0,0.0425,-0.0937
11,0,-0.2075,0.0307
12,,,
15,0.139,-0.0236,0
17,0.0771,0,-0.1284
22,0.1297,0,-0.0311
25,0.1219,-0.048,0
27,0.1384,-0.1118,0
29,0.1948,0,-0.0445
31,0,0.1063,-0.0609
36,0,-0.0933,0.0248
40,0.0435,-0.0872,0
42,0.1262,-0.0053,0
44,0.0051,-0.1236,0
46,-0.0398,0,0.0039
50,-0.0187,0,0.0037
52,0,0.0494,-0.0512
56,-0.0254,0.0379,0
60,0.0756,0,-0.0053
63,0,0.0736,-0.0678
64,0.1707,0,-0.0909
65,-0.0356,0.168,0
66,0.0431,-0.1127,0
68,0.0752,-0.0309,0
70,0.072,0,-0.0262
71,-0.0162,0.0379,0
73,-0.0823,0.0229,0
77,0.0763,-0.1271,0
79,0.1353,0,-0.0345
83,0,-0.0259,0.1616
88,0,0.0653,-0.0254
92,-0.0497,0,0.0328
95,0,-0.0163,0.0123
97,-0.0673,0,0.0696
98,0,-0.0335,0.009
99,0.1556,-0.0076,0
102,-0.1082,0,0.1635
104,-0.031,0,0.0078
107,0.0845,0,-0.0127
109,0.1052,0,-0.0563
110,0,0.037,-0.0703
113,0,0.0913,-0.0122
116,-0.0945,0,0.0376
118,-0.099,0,0.099
121,0.1211,-0.117,0
123,0.0041,0,-0.0373
125,0.265,-0.0013,0
