site,hydro_year,days_in_hydro_year,first_day_in_hydro_year,last_day_in_hydro_year,snow_days,max_snow_period,n_snow_period,first_snow_date,last_snow_date,last_snow_doy,T1_ft,T2_ft,T3_ft,deep_snow_days_T2,max_deep_snow_period_T2,n_deep_snow_period_T2,first_deep_snow_date_T2,last_deep_snow_date_T2,last_deep_snow_doy_T2,deep_snow_days_T3,max_deep_snow_period_T3,n_deep_snow_period_T3,first_deep_snow_date_T3,last_deep_snow_date_T3,last_deep_snow_doy_T3
1,2020,366,1,366,240,240,1,2019-09-29,2020-05-25,146,68,88,104,120,29,8,2019-10-01,2020-05-12,133,28,14,2,2020-01-07,2020-02-22,53
1,2021,335,1,336,231,231,1,2020-10-13,2021-05-31,151,2,96,128,154,95,4,2020-10-31,2021-05-31,151,48,21,3,2021-01-28,2021-05-17,137
3,2020,366,1,366,254,254,1,2019-09-29,2020-06-08,160,6,48,42,227,217,2,2019-10-23,2020-06-08,160,160,120,4,2019-11-30,2020-06-07,159
3,2021,335,1,336,234,234,1,2020-10-13,2021-06-03,154,12,46,74,223,223,1,2020-10-24,2021-06-03,154,179,126,2,2020-10-24,2021-06-02,153
8,2020,366,1,366,245,245,1,2019-09-29,2020-05-30,151,22,92,74,32,22,2,2020-01-11,2020-05-23,144,9,9,1,2020-05-14,2020-05-22,143
8,2021,335,1,336,225,225,1,2020-10-13,2021-05-25,145,12,64,136,121,44,6,2020-11-01,2021-05-22,142,32,22,2,2021-01-27,2021-04-11,101
11,2020,366,1,366,295,295,1,2019-09-29,2020-07-19,201,4,38,66,198,198,1,2020-01-04,2020-07-19,201,193,193,1,2020-01-08,2020-07-18,200
11,2021,335,1,336,253,253,1,2020-10-13,2021-06-22,173,4,46,76,184,184,1,2020-12-21,2021-06-22,173,163,116,3,2020-12-30,2021-06-22,173
12,2020,366,1,366,301,301,1,2019-10-08,2020-08-03,216,2,72,84,225,225,1,2019-12-23,2020-08-03,216,212,212,1,2020-01-04,2020-08-02,215
12,2021,335,1,336,259,259,1,2020-10-13,2021-06-28,179,8,56,76,178,159,2,2020-12-22,2021-06-28,179,145,122,2,2021-01-27,2021-06-27,178
15,2020,366,1,366,229,229,1,2019-10-08,2020-05-23,144,6,92,202,32,19,2,2020-01-08,2020-02-26,57,0,0,0,NA,NA,0
15,2021,335,1,336,224,224,1,2020-10-13,2021-05-24,144,50,96,156,98,33,4,2020-10-23,2021-05-20,140,11,11,1,2021-04-05,2021-04-15,105
17,2020,366,1,366,237,237,1,2019-10-08,2020-05-31,152,8,98,114,170,126,2,2019-12-13,2020-05-31,152,129,112,2,2020-01-04,2020-05-30,151
17,2021,335,1,336,229,229,1,2020-10-15,2021-05-31,151,6,60,92,221,221,1,2020-10-23,2021-05-31,151,102,61,3,2021-01-27,2021-05-27,147
22,2020,366,1,366,237,237,1,2019-09-29,2020-05-22,143,22,88,88,184,60,6,2019-10-29,2020-05-16,137,33,24,2,2019-11-15,2020-01-16,16
22,2021,335,1,336,211,190,3,2020-10-13,2021-05-17,137,16,128,196,71,23,4,2020-10-24,2021-05-17,137,0,0,0,NA,NA,0
25,2020,366,1,366,244,244,1,2019-09-29,2020-05-29,150,12,62,100,187,151,4,2019-10-29,2020-05-29,150,143,125,2,2020-01-04,2020-05-26,147
25,2021,335,1,336,233,233,1,2020-10-13,2021-06-02,153,16,30,48,223,223,1,2020-10-23,2021-06-02,153,207,163,3,2020-11-02,2021-06-01,152
27,2020,366,1,366,300,300,1,2019-10-03,2020-07-28,210,14,66,76,268,257,2,2019-10-23,2020-07-28,210,201,178,2,2020-01-04,2020-07-28,210
27,2021,335,1,336,234,234,1,2020-10-14,2021-06-04,155,10,34,54,234,234,1,2020-10-14,2021-06-04,155,189,165,2,2020-11-22,2021-06-03,154
29,2020,366,1,366,244,214,2,2019-10-08,2020-06-13,165,4,90,120,222,212,2,2019-10-23,2020-06-13,165,194,194,1,2019-12-03,2020-06-13,165
29,2021,335,1,336,237,237,1,2020-10-15,2021-06-08,159,8,68,76,229,229,1,2020-10-23,2021-06-08,159,204,138,3,2020-11-02,2021-06-07,158
31,2020,366,1,366,250,250,1,2019-10-08,2020-06-13,165,8,60,88,223,223,1,2019-11-04,2020-06-13,165,209,209,1,2019-11-16,2020-06-11,163
31,2021,335,1,336,236,236,1,2020-10-13,2021-06-05,156,2,406,80,194,136,3,2020-11-05,2021-06-05,156,143,130,2,2020-11-06,2021-06-04,155
36,2020,366,1,366,241,241,1,2019-10-12,2020-06-08,160,8,78,96,198,189,2,2019-10-23,2020-06-08,160,187,187,1,2019-12-05,2020-06-08,160
36,2021,335,1,336,231,231,1,2020-10-15,2021-06-02,153,54,20,86,223,223,1,2020-10-23,2021-06-02,153,172,126,4,2020-11-02,2021-06-02,153
40,2020,366,1,366,200,140,3,2019-10-08,2020-05-20,141,6,90,206,23,13,2,2020-01-08,2020-05-11,132,0,0,0,NA,NA,0
40,2021,335,1,336,226,226,1,2020-10-13,2021-05-26,146,6,76,138,158,120,3,2020-10-23,2021-05-26,146,95,59,3,2021-01-28,2021-05-18,138
