site,year,month,day_frac_T1,day_frac_T2,day_frac_T3,day_frac_moist,T1_mean,T1_absmax,T1_absmin,T1_meanmax,T1_meanmin,T2_mean,T2_absmax,T2_absmin,T2_meanmax,T2_meanmin,T3_mean,T3_absmax,T3_absmin,T3_meanmax,T3_meanmin,moist_sd,moist_cv,moist_med,moist_mean,moist_absmax,moist_absmin,T1_TDD,T1_GDD3,T1_GDD5,T1_FDD,T1_TDD_days,T1_GDD3_days,T1_GDD5_days,T1_FDD_days,T2_TDD,T2_GDD3,T2_GDD5,T2_FDD,T2_TDD_days,T2_GDD3_days,T2_GDD5_days,T2_FDD_days,T3_TDD,T3_GDD3,T3_GDD5,T3_FDD,T3_TDD_days,T3_GDD3_days,T3_GDD5_days,T3_FDD_days
1,2019,7,1,1,1,1,6.74,16.59,1.72,8.33,5.26,8.8,26.8,0.42,14.09,3.95,8.45,25.25,0.19,13.07,4.24,6.21,0.55,9.6,11.2,27.4,2.5,209.06,209.06,174.55,0,31,31,22,0,272.83,267.91,250.19,0,31,29,25,0,261.92,257.7,226.65,0,31,29,22,0
1,2019,8,1,1,1,1,6.35,11.47,1.84,7.17,5.53,6.96,19.99,-2.83,10.99,3.77,6.77,19.75,-3.06,10.41,3.91,2.13,0.16,13.6,13.5,21.7,7.3,196.84,196.84,153.13,0,31,31,21,0,215.63,208.07,177.44,0,31,28,20,0,210.02,200.5,170.4,0,31,27,19,0
1,2019,9,1,1,1,0.8333333333333334,4.11,10.66,0.34,4.66,3.61,3.31,14.86,-3.33,6.19,0.96,3.07,14.25,-4.56,5.71,0.86,2.25,0.17,12.5,12.9,23.4,9.3,123.39,98.9,86.33,0,30,15,12,0,113,99.65,96.41,-13.79,21,13,12,9,112.72,100.24,97.17,-20.74,21,13,12,9
1,2019,10,1,1,1,0,0.03,1.09,-0.78,0.07,-0,-1.48,0.11,-5.83,-1.07,-2.14,-4.1,-0.06,-11.25,-2.78,-5.76,NA,NA,NA,NA,NA,NA,7.14,0,0,-6.07,16,0,0,15,0.03,0,0,-46.02,1,0,0,30,0,0,0,-127.17,0,0,0,31
1,2019,11,1,1,1,0,-1.11,-0.78,-1.66,-1.05,-1.17,-2.75,-1.2,-5.45,-2.46,-3.07,-5.28,-1.94,-11.38,-4.57,-6.06,NA,NA,NA,NA,NA,NA,0,0,0,-33.4,0,0,0,30,0,0,0,-82.49,0,0,0,30,0,0,0,-158.31,0,0,0,30
1,2019,12,1,1,1,0,-1.56,-1.16,-2.09,-1.5,-1.62,-2.7,-1.7,-4.45,-2.47,-2.94,-4.51,-2.38,-8,-3.97,-5.05,NA,NA,NA,NA,NA,NA,0,0,0,-48.3,0,0,0,31,0,0,0,-83.68,0,0,0,31,0,0,0,-139.68,0,0,0,31
1,2020,1,1,1,1,0,-2.2,-1.53,-4.09,-2.12,-2.29,-3.52,-1.89,-7.39,-3.28,-3.8,-5.56,-2.62,-12.19,-5.06,-6.16,NA,NA,NA,NA,NA,NA,0,0,0,-68.22,0,0,0,31,0,0,0,-109.17,0,0,0,31,0,0,0,-172.33,0,0,0,31
1,2020,2,1,1,1,0,-3.01,-2.28,-4.28,-2.94,-3.1,-4.1,-2.58,-6.83,-3.88,-4.32,-5.78,-3.12,-10.62,-5.3,-6.25,NA,NA,NA,NA,NA,NA,0,0,0,-87.37,0,0,0,29,0,0,0,-118.79,0,0,0,29,0,0,0,-167.7,0,0,0,29
1,2020,3,1,1,1,0,-3.27,-2.41,-4.03,-3.15,-3.38,-4.23,-2.33,-6.2,-3.88,-4.61,-5.78,-2.38,-9.62,-5.07,-6.61,NA,NA,NA,NA,NA,NA,0,0,0,-101.48,0,0,0,31,0,0,0,-131.12,0,0,0,31,0,0,0,-179.21,0,0,0,31
1,2020,4,1,1,1,0,-2.67,-1.53,-3.78,-2.56,-2.77,-3.09,-0.45,-5.58,-2.64,-3.61,-3.93,0.12,-8.38,-2.85,-5.09,NA,NA,NA,NA,NA,NA,0,0,0,-80.22,0,0,0,30,0,0,0,-92.76,0,0,0,30,0,0,0,-118.04,0,0,0,30
